Acc_X,Acc_Y,Acc_Z
-3.66253,-8.888351,1.806273
-3.79267,-9.438648,1.191254
-3.475705,-9.223968,1.378733
-3.999751,-9.21708,1.393962
-3.139054,-8.973907,1.226036
-3.49047,-8.541818,1.55105
-3.687779,-9.85568,1.323589
-3.224911,-9.030437,1.787608
-2.326421,-10.007602,0.914257
-2.121392,-9.366248,0.800345
-2.787172,-9.801502,1.189457
-3.214671,-8.636923,1.590886
-3.562961,-9.319202,0.785503
-3.617113,-9.185885,2.22076
-3.988796,-9.629185,0.531518
-3.316757,-9.248907,1.956001
-3.9383,-9.355219,0.582473
-2.876224,-9.55297,1.988722
-2.091989,-9.844464,0.224927
-3.126883,-9.356018,1.386199
-3.846141,-9.296524,1.732211
-3.186273,-9.259548,1.376472
-4.074721,-9.050522,1.758612
-3.617839,-9.120298,1.226368
-4.02085,-9.086369,1.697826
-3.234356,-9.104259,1.49605
-4.093676,-9.239997,1.581908
-3.598831,-8.896476,1.50279
-3.476569,-9.520382,1.16904
-3.213807,-8.729697,1.965977
-3.13871,-8.817324,0.723078
-3.408667,-8.834978,1.866086
-3.639308,-9.394154,1.415576
-3.479991,-8.92245,1.499162
-3.961062,-9.40533,1.600862
-3.500045,-8.33359,1.689248
-3.937719,-9.41268,1.614664
-3.507562,-8.927351,1.830172
-3.68154,-9.594402,0.58532
-3.681105,-9.376766,2.063759
-2.81843,-9.784412,0.594699
-2.837451,-9.339489,1.92102
-3.673292,-9.572922,1.27352
-3.66253,-8.888351,1.806273
-3.79267,-9.438648,1.191254
-3.475705,-9.223968,1.378733
-3.999751,-9.21708,1.393962
-3.139054,-8.973907,1.226036
-3.49047,-8.541818,1.55105
-3.687779,-9.85568,1.323589
-3.224911,-9.030437,1.787608
-2.326421,-10.007602,0.914257
-2.121392,-9.366248,0.800345
-2.787172,-9.801502,1.189457
-3.214671,-8.636923,1.590886
-3.562961,-9.319202,0.785503
-3.617113,-9.185885,2.22076
-3.988796,-9.629185,0.531518
-3.316757,-9.248907,1.956001
-3.9383,-9.355219,0.582473
-2.876224,-9.55297,1.988722
-2.091989,-9.844464,0.224927
-3.126883,-9.356018,1.386199
-3.846141,-9.296524,1.732211
-3.186273,-9.259548,1.376472
-4.074721,-9.050522,1.758612
-3.617839,-9.120298,1.226368
-4.02085,-9.086369,1.697826
-3.234356,-9.104259,1.49605
-4.093676,-9.239997,1.581908
-3.598831,-8.896476,1.50279
-3.476569,-9.520382,1.16904
-3.213807,-8.729697,1.965977
-3.13871,-8.817324,0.723078
-2.698275,-9.88395,1.247965
-3.080728,-9.130062,1.850124
-3.28716,-9.546919,0.904348
-3.056402,-9.400295,2.050065
-3.362046,-9.957792,0.877546
-2.876974,-9.426974,1.953681
-3.027535,-10.042558,0.744884
-1.821269,-9.302201,1.320448
-2.085431,-10.262934,1.099373
-2.469829,-9.026409,1.210347
-3.013685,-9.273357,1.539983
-2.99693,-9.463322,1.469713
-3.036085,-8.944715,1.329616
-2.960618,-9.540534,1.383854
-3.108881,-9.095765,1.345914
-2.884294,-9.722759,1.067825
-3.032871,-9.289206,1.993151
-3.191014,-9.758994,-0.077183
-2.760054,-10.706788,2.023302
-1.505144,-9.602118,0.238628
-1.928119,-9.23667,1.42276
-2.6368,-9.504613,0.537204
-2.666863,-9.99377,1.988989
-2.893392,-9.849997,1.179398
-3.023998,-9.275443,1.236545
-3.184047,-9.573773,1.3028
-2.613194,-9.26507,0.986415
-2.687353,-9.28257,1.632039
-1.869977,-9.980894,1.060071
-2.237604,-8.872373,1.050227
-2.71094,-9.715586,1.093216
-2.907483,-9.059772,1.984875
-3.288624,-9.435852,1.133726
-3.041354,-9.221211,2.229084
-3.577459,-9.393092,0.864578
-3.202995,-9.246039,2.464741
-3.302657,-9.320268,1.084046
-3.11831,-9.1106,2.575422
-3.403288,-9.523087,0.792562
-3.369769,-9.061757,2.292701
-2.902893,-9.71877,0.676168
-2.698275,-9.88395,1.247965
-3.080728,-9.130062,1.850124
-3.28716,-9.546919,0.904348
-3.056402,-9.400295,2.050065
-3.362046,-9.957792,0.877546
-2.876974,-9.426974,1.953681
-3.027535,-10.042558,0.744884
-1.821269,-9.302201,1.320448
-2.085431,-10.262934,1.099373
-2.469829,-9.026409,1.210347
-3.013685,-9.273357,1.539983
-2.99693,-9.463322,1.469713
-3.036085,-8.944715,1.329616
-2.960618,-9.540534,1.383854
-3.108881,-9.095765,1.345914
-2.884294,-9.722759,1.067825
-3.032871,-9.289206,1.993151
-3.191014,-9.758994,-0.077183
-2.760054,-10.706788,2.023302
-1.505144,-9.602118,0.238628
-1.928119,-9.23667,1.42276
-2.6368,-9.504613,0.537204
-2.666863,-9.99377,1.988989
-2.893392,-9.849997,1.179398
-3.023998,-9.275443,1.236545
-3.184047,-9.573773,1.3028
-2.613194,-9.26507,0.986415
-2.687353,-9.28257,1.632039
-1.869977,-9.980894,1.060071
-2.237604,-8.872373,1.050227
-2.71094,-9.715586,1.093216
-2.907483,-9.059772,1.984875
-3.288624,-9.435852,1.133726
-3.041354,-9.221211,2.229084
-3.577459,-9.393092,0.864578
-3.202995,-9.246039,2.464741
-3.302657,-9.320268,1.084046
-3.11831,-9.1106,2.575422
-3.403288,-9.523087,0.792562
-3.369769,-9.061757,2.292701
-2.902893,-9.71877,0.676168
-3.146602,-9.075796,1.98237
-3.327074,-9.544849,0.698621
-3.410676,-9.136662,2.575148
-3.634919,-9.261876,0.695986
-3.225364,-9.87948,2.244815
-3.874671,-9.853844,1.193049
-3.264971,-9.152598,1.486128
-3.613704,-9.74118,0.811507
-2.052821,-9.182769,1.438996
-1.978664,-9.566404,0.693992
-2.962059,-9.385816,1.234372
-3.500378,-8.840961,1.725825
-3.405342,-9.187389,1.292141
-3.763844,-9.081665,1.680158
-3.39077,-9.427589,1.246776
-3.703087,-8.949897,2.071056
-3.610284,-9.371568,0.970554
-3.374417,-9.639096,1.847997
-3.678346,-9.837135,0.733048
-2.032369,-9.484503,2.318009
-2.31762,-10.405863,-0.308019
-2.349832,-9.136515,1.750897
-2.907148,-9.722162,1.198701
-3.193488,-9.160397,1.211752
-3.455221,-9.207075,1.325328
-3.329889,-9.210265,1.3002
-3.249322,-9.276213,1.358179
-3.089606,-9.873992,1.173824
-3.048871,-9.211265,1.253237
-2.253728,-9.95069,1.09136
-2.498671,-8.759027,1.107723
-3.143346,-9.61803,1.360946
-3.38406,-8.766142,2.195222
-3.440618,-9.492218,1.314578
-3.434537,-9.050123,2.528747
-3.684913,-9.340374,0.8596
-3.474108,-9.054045,2.379974
-3.632924,-9.424417,1.063098
-3.392663,-8.85712,2.210714
-3.587168,-9.599325,1.127606
-3.837255,-8.806466,2.136529
-3.486944,-9.950077,1.152482
-3.146602,-9.075796,1.98237
-3.327074,-9.544849,0.698621
-3.410676,-9.136662,2.575148
-3.634919,-9.261876,0.695986
-3.225364,-9.87948,2.244815
-3.874671,-9.853844,1.193049
-3.264971,-9.152598,1.486128
-3.613704,-9.74118,0.811507
-2.052821,-9.182769,1.438996
-1.978664,-9.566404,0.693992
-2.962059,-9.385816,1.234372
-3.500378,-8.840961,1.725825
-3.405342,-9.187389,1.292141
-3.763844,-9.081665,1.680158
-3.39077,-9.427589,1.246776
-3.703087,-8.949897,2.071056
-3.610284,-9.371568,0.970554
-3.374417,-9.639096,1.847997
-3.678346,-9.837135,0.733048
-2.032369,-9.484503,2.318009
-2.31762,-10.405863,-0.308019
-2.349832,-9.136515,1.750897
-2.907148,-9.722162,1.198701
-3.193488,-9.160397,1.211752
-3.455221,-9.207075,1.325328
-3.329889,-9.210265,1.3002
-3.249322,-9.276213,1.358179
-3.089606,-9.873992,1.173824
-3.048871,-9.211265,1.253237
-2.253728,-9.95069,1.09136
-2.498671,-8.759027,1.107723
-3.143346,-9.61803,1.360946
-3.38406,-8.766142,2.195222
-3.440618,-9.492218,1.314578
-3.434537,-9.050123,2.528747
-3.684913,-9.340374,0.8596
-3.474108,-9.054045,2.379974
-3.632924,-9.424417,1.063098
-3.392663,-8.85712,2.210714
-3.587168,-9.599325,1.127606
-3.837255,-8.806466,2.136529
-3.486944,-9.950077,1.152482
-3.271931,-9.193174,1.839815
-3.351025,-9.333941,1.778699
-3.08884,-8.814757,1.635178
-3.084723,-9.646214,1.507745
-3.128091,-8.691408,1.570541
-3.182679,-9.778924,1.407257
-3.644967,-9.45249,1.599408
-2.098583,-9.807858,1.013717
-2.517558,-9.506219,0.46029
-2.82508,-9.543791,1.605317
-3.315112,-8.58579,1.583744
-2.875957,-9.642155,1.375607
-3.241598,-9.186392,2.204027
-3.057771,-9.347075,1.065911
-3.346351,-9.37886,1.999962
-3.500578,-9.67308,0.750719
-2.66991,-9.975862,2.215948
-3.162729,-9.917023,0.999517
-2.034899,-9.293036,1.458767
-3.150693,-9.808153,-0.355269
-2.024228,-8.732591,1.990894
-2.407103,-9.641602,0.707264
-3.16519,-9.455675,2.292853
-3.227307,-10.11501,0.976373
-3.179259,-9.202673,1.50193
-3.33536,-9.769755,1.012419
-2.778812,-9.027966,1.171255
-2.817034,-9.490853,1.124814
-2.233658,-9.776774,0.801163
-2.335332,-9.11124,0.787965
-3.043338,-9.147058,1.442829
-3.034374,-9.040742,2.025633
-3.690043,-10.761435,1.417586
-3.008436,-9.23381,1.587959
-3.719472,-9.465811,1.963549
-2.923309,-9.151079,1.618285
-3.78582,-8.910127,1.936117
-3.279268,-9.38983,1.560964
-3.726772,-9.729644,1.880115
-2.904099,-9.024446,1.707727
-3.271931,-9.193174,1.839815
-3.351025,-9.333941,1.778699
-3.08884,-8.814757,1.635178
-3.084723,-9.646214,1.507745
-3.128091,-8.691408,1.570541
-3.182679,-9.778924,1.407257
-3.644967,-9.45249,1.599408
-2.098583,-9.807858,1.013717
-2.517558,-9.506219,0.46029
-2.82508,-9.543791,1.605317
-3.315112,-8.58579,1.583744
-2.875957,-9.642155,1.375607
-3.241598,-9.186392,2.204027
-3.057771,-9.347075,1.065911
-3.346351,-9.37886,1.999962
-3.500578,-9.67308,0.750719
-2.66991,-9.975862,2.215948
-3.162729,-9.917023,0.999517
-2.034899,-9.293036,1.458767
-3.150693,-9.808153,-0.355269
-2.024228,-8.732591,1.990894
-2.407103,-9.641602,0.707264
-3.16519,-9.455675,2.292853
-3.227307,-10.11501,0.976373
-3.179259,-9.202673,1.50193
-3.33536,-9.769755,1.012419
-2.778812,-9.027966,1.171255
-2.817034,-9.490853,1.124814
-2.233658,-9.776774,0.801163
-2.335332,-9.11124,0.787965
-3.043338,-9.147058,1.442829
-3.034374,-9.040742,2.025633
-3.690043,-10.761435,1.417586
-3.008436,-9.23381,1.587959
-3.719472,-9.465811,1.963549
-2.923309,-9.151079,1.618285
-3.78582,-8.910127,1.936117
-3.279268,-9.38983,1.560964
-3.726772,-9.729644,1.880115
-2.904099,-9.024446,1.707727
-3.151006,-10.096729,1.451167
-2.901296,-8.93121,1.893951
-3.225778,-9.511136,0.815964
-3.019599,-9.683906,2.07558
-3.600536,-9.597462,0.830527
-3.025892,-9.447156,2.065866
-3.533532,-9.551746,0.414893
-2.083468,-9.680691,1.677801
-1.183656,-10.470814,0.181099
-2.2457,-9.417082,1.117618
-2.6245,-9.535348,1.317281
-2.627702,-9.301589,1.350343
-2.911802,-9.248974,1.663907
-2.629277,-9.553046,1.184663
-2.923694,-9.11532,1.380167
-2.907346,-9.638231,1.027317
-3.054213,-9.182218,1.990074
-2.483176,-9.855147,0.249199
-3.329258,-10.170475,2.133304
-1.569055,-9.810715,-0.06948
-1.57732,-8.981496,1.446609
-2.879094,-9.594228,0.911247
-2.797681,-9.695226,2.074449
-3.08561,-9.661404,0.644258
-3.090571,-9.592941,1.813945
-2.940068,-9.81507,1.152681
-2.876836,-9.255893,1.105928
-3.159935,-9.541532,1.195843
-2.054462,-9.707507,0.864798
-2.389262,-9.940333,1.893167
-2.713683,-9.205812,1.093956
-3.044868,-8.865639,1.479213
-3.241804,-9.462123,1.425287
-3.091154,-8.960587,1.701812
-3.511883,-9.545988,1.574058
-3.04302,-9.036955,1.372747
-3.165441,-9.803344,1.156618
-3.564453,-9.027624,1.600571
-3.058933,-10.167537,1.387144
-3.369097,-8.889311,1.84148
-3.065567,-9.961291,1.824121
-2.609802,-9.879381,0.527594
-3.151006,-10.096729,1.451167
-2.901296,-8.93121,1.893951
-3.225778,-9.511136,0.815964
-3.019599,-9.683906,2.07558
-3.600536,-9.597462,0.830527
-3.025892,-9.447156,2.065866
-3.533532,-9.551746,0.414893
-2.083468,-9.680691,1.677801
-1.183656,-10.470814,0.181099
-2.2457,-9.417082,1.117618
-2.6245,-9.535348,1.317281
-2.627702,-9.301589,1.350343
-2.911802,-9.248974,1.663907
-2.629277,-9.553046,1.184663
-2.923694,-9.11532,1.380167
-2.907346,-9.638231,1.027317
-3.054213,-9.182218,1.990074
-2.483176,-9.855147,0.249199
-3.329258,-10.170475,2.133304
-1.569055,-9.810715,-0.06948
-1.57732,-8.981496,1.446609
-2.879094,-9.594228,0.911247
-2.797681,-9.695226,2.074449
-3.08561,-9.661404,0.644258
-3.090571,-9.592941,1.813945
-2.940068,-9.81507,1.152681
-2.876836,-9.255893,1.105928
-3.159935,-9.541532,1.195843
-2.054462,-9.707507,0.864798
-2.389262,-9.940333,1.893167
-2.713683,-9.205812,1.093956
-3.044868,-8.865639,1.479213
-3.241804,-9.462123,1.425287
-3.091154,-8.960587,1.701812
-3.511883,-9.545988,1.574058
-3.04302,-9.036955,1.372747
-3.165441,-9.803344,1.156618
-3.564453,-9.027624,1.600571
-3.058933,-10.167537,1.387144
-3.369097,-8.889311,1.84148
-3.065567,-9.961291,1.824121
-2.609802,-9.879381,0.527594
-2.939869,-9.246978,0.709554
-2.873278,-9.971226,0.73306
-2.882857,-9.247956,0.81664
-3.248654,-9.678667,0.52786
-3.176496,-8.910326,0.590177
-2.961113,-9.909371,0.533236
-3.23715,-9.504156,0.900157
-1.955754,-10.14079,0.345667
-1.355697,-9.473969,0.910357
-2.283963,-9.603598,0.769029
-3.154416,-9.389567,1.311029
-2.900575,-9.761889,0.186625
-2.823848,-9.302241,1.695452
-3.256108,-10.531872,0.462741
-2.575933,-9.160519,1.25824
-3.330589,-10.003813,0.639058
-2.882209,-9.403468,0.942855
-2.455664,-10.261798,0.262827
-2.532722,-9.301914,0.746864
-1.748551,-10.392452,-0.044519
-2.443139,-9.219713,0.833585
-2.409695,-10.155838,0.522838
-2.365927,-9.491719,0.633139
-2.714715,-9.464462,0.754255
-2.754261,-9.869862,0.630461
-2.545195,-9.578501,0.742406
-2.361469,-9.688311,0.486559
-2.374739,-9.533345,0.841882
-2.14413,-10.213039,0.649566
-1.985236,-9.15041,1.252043
-2.488292,-9.786242,0.145376
-3.306083,-9.197543,1.333718
-2.558392,-9.732935,0.262171
-3.483801,-9.431901,1.366555
-2.613527,-9.774302,0.138337
-3.280839,-9.374054,1.381545
-2.969996,-9.865679,0.916386
-3.326933,-9.144093,0.833586
-3.128455,-10.48235,0.829293
-3.217156,-9.380185,0.919044
-2.976115,-8.756965,0.823144
-3.350821,-9.822018,1.04238
-3.285432,-9.230886,1.28476
-2.970896,-9.622956,0.171438
-3.158805,-10.132833,1.461
-3.459412,-9.889489,0.291167
-3.165578,-9.280583,0.974933
-2.861104,-10.139693,0.571201
-2.346419,-9.326624,0.935325
-2.269708,-10.320162,0.366747
-2.616253,-9.241924,0.633205
-2.740641,-8.840669,0.739958
-3.271665,-9.770977,0.796941
-3.250606,-9.092472,1.070768
-3.218527,-9.758074,0.293694
-3.452198,-10.094681,1.286792
-3.366211,-10.057266,0.837914
-2.691072,-9.473762,0.29263
-2.385901,-9.728326,0.713705
-2.501198,-9.681193,0.665061
-2.024571,-10.026688,0.261733
-2.818963,-9.486197,0.872027
-2.858573,-9.00163,0.84674
-3.213073,-9.418762,0.741343
-2.742967,-10.172803,1.361765
-3.607568,-9.771923,-0.085479
-2.979925,-9.472123,1.042311
-2.500331,-10.305987,0.744131
-2.260791,-9.291924,0.414881
-2.060149,-9.039852,0.935238
-3.157575,-9.744585,0.891956
-3.589297,-8.851803,1.172698
-3.289529,-9.680281,0.442666
-3.550931,-9.02396,1.153296
-3.015222,-9.998506,0.513807
-3.443716,-9.181937,1.150352
-2.977668,-9.981062,0.494928
-3.531303,-9.063758,1.181279
-2.882838,-10.270966,0.663215
-3.256835,-9.242125,0.821682
-3.340491,-9.977435,1.057497
-2.976115,-8.756965,0.823144
-3.350821,-9.822018,1.04238
-3.285432,-9.230886,1.28476
-2.970896,-9.622956,0.171438
-3.158805,-10.132833,1.461
-3.459412,-9.889489,0.291167
-3.165578,-9.280583,0.974933
-2.861104,-10.139693,0.571201
-2.346419,-9.326624,0.935325
-2.269708,-10.320162,0.366747
-2.616253,-9.241924,0.633205
-2.740641,-8.840669,0.739958
-3.271665,-9.770977,0.796941
-3.250606,-9.092472,1.070768
-3.218527,-9.758074,0.293694
-3.452198,-10.094681,1.286792
-3.366211,-10.057266,0.837914
-2.691072,-9.473762,0.29263
-2.385901,-9.728326,0.713705
-2.501198,-9.681193,0.665061
-2.024571,-10.026688,0.261733
-2.818963,-9.486197,0.872027
-2.858573,-9.00163,0.84674
-3.213073,-9.418762,0.741343
-2.742967,-10.172803,1.361765
-3.607568,-9.771923,-0.085479
-2.979925,-9.472123,1.042311
-2.500331,-10.305987,0.744131
-2.260791,-9.291924,0.414881
-2.060149,-9.039852,0.935238
-3.157575,-9.744585,0.891956
-3.589297,-8.851803,1.172698
-3.289529,-9.680281,0.442666
-3.550931,-9.02396,1.153296
-3.015222,-9.998506,0.513807
-3.443716,-9.181937,1.150352
-2.977668,-9.981062,0.494928
-3.531303,-9.063758,1.181279
-2.882838,-10.270966,0.663215
-3.256835,-9.242125,0.821682
-3.340491,-9.977435,1.057497
-3.408667,-8.834978,1.866086
-3.639308,-9.394154,1.415576
-3.479991,-8.92245,1.499162
-3.961062,-9.40533,1.600862
-3.500045,-8.33359,1.689248
-3.937719,-9.41268,1.614664
-3.507562,-8.927351,1.830172
-3.68154,-9.594402,0.58532
-3.681105,-9.376766,2.063759
-2.81843,-9.784412,0.594699
-2.837451,-9.339489,1.92102
-3.673292,-9.572922,1.27352
-3.66253,-8.888351,1.806273
-3.79267,-9.438648,1.191254
-3.475705,-9.223968,1.378733
-3.999751,-9.21708,1.393962
-3.139054,-8.973907,1.226036
-3.49047,-8.541818,1.55105
-3.687779,-9.85568,1.323589
-3.224911,-9.030437,1.787608
-2.326421,-10.007602,0.914257
-2.121392,-9.366248,0.800345
-2.787172,-9.801502,1.189457
-3.214671,-8.636923,1.590886
-3.562961,-9.319202,0.785503
-3.617113,-9.185885,2.22076
-3.988796,-9.629185,0.531518
-3.316757,-9.248907,1.956001
-3.9383,-9.355219,0.582473
-2.876224,-9.55297,1.988722
-2.091989,-9.844464,0.224927
-3.126883,-9.356018,1.386199
-3.846141,-9.296524,1.732211
-3.186273,-9.259548,1.376472
-4.074721,-9.050522,1.758612
-3.617839,-9.120298,1.226368
-4.02085,-9.086369,1.697826
-3.234356,-9.104259,1.49605
