Acc_X,Acc_Y,Acc_Z
-4.099635,-9.128547,-0.142346
-4.099233,-9.130887,-0.150954
-4.104532,-9.128874,-0.148985
-4.096153,-9.133988,-0.143761
-4.082952,-9.139387,-0.145567
-4.107035,-9.127786,-0.153882
-4.12114,-9.12167,-0.164362
-4.111171,-9.128983,-0.174886
-4.122336,-9.120473,-0.170946
-4.142622,-9.116901,-0.188271
-4.151067,-9.110655,-0.186628
-4.144472,-9.115597,-0.186312
-4.144722,-9.109938,-0.18184
-4.148172,-9.111135,-0.182068
-4.136418,-9.118209,-0.19023
-4.141011,-9.113888,-0.180643
-4.144722,-9.112452,-0.183875
-4.135265,-9.115085,-0.188065
-4.134134,-9.118534,-0.189686
-4.146159,-9.111734,-0.185072
-4.150784,-9.111026,-0.198501
-4.143057,-9.114617,-0.197957
-4.153102,-9.110776,-0.195127
-4.156987,-9.106129,-0.201004
-4.154299,-9.108142,-0.211767
-4.13903,-9.11527,-0.202092
-4.140532,-9.11736,-0.193332
-4.151219,-9.109176,-0.196869
-4.139139,-9.117664,-0.196433
-4.143167,-9.118077,-0.188065
-4.157966,-9.10885,-0.196325
-4.150229,-9.116522,-0.209852
-4.144124,-9.115683,-0.201472
-4.150567,-9.111789,-0.19861
-4.143645,-9.114965,-0.213563
-4.139455,-9.119395,-0.200036
-4.147301,-9.113855,-0.190774
-4.167706,-9.104072,-0.197761
-4.16047,-9.109067,-0.199807
-4.154375,-9.108633,-0.188054
-4.151905,-9.113171,-0.191416
-4.145321,-9.115086,-0.192494
-4.147084,-9.11342,-0.190448
-4.14951,-9.111374,-0.188663
-4.144602,-9.113648,-0.195965
-4.146866,-9.115705,-0.19023
-4.152743,-9.111254,-0.185192
-4.144124,-9.115683,-0.199557
-4.145669,-9.11244,-0.188163
-4.15579,-9.11059,-0.171185
-4.138018,-9.117838,-0.182797
-4.128322,-9.122626,-0.172263
-4.133589,-9.118862,-0.16335
-4.144244,-9.114965,-0.170707
-4.128692,-9.123651,-0.166832
-4.143166,-9.117121,-0.161249
-4.147715,-9.116041,-0.171904
-4.143492,-9.113527,-0.174994
-4.147476,-9.111494,-0.170228
-4.156661,-9.108741,-0.183374
-4.144363,-9.115379,-0.190883
-4.138617,-9.119635,-0.180762
-4.16603,-9.103951,-0.182558
-4.149989,-9.113529,-0.200993
-4.151001,-9.11342,-0.197957
-4.174889,-9.099044,-0.17334
-4.165585,-9.106129,-0.200569
-4.168186,-9.106226,-0.181121
-4.171058,-9.103354,-0.179086
-4.167652,-9.105803,-0.192842
-4.151546,-9.110775,-0.186269
-4.159273,-9.107108,-0.188707
-4.169861,-9.105148,-0.195846
-4.152384,-9.11305,-0.195726
-4.147737,-9.113638,-0.191101
-4.157291,-9.106107,-0.192374
-4.15209,-9.111352,-0.197086
-4.136822,-9.116641,-0.187945
-4.16196,-9.106226,-0.20243
-4.163299,-9.104605,-0.21624
-4.146039,-9.111254,-0.205063
-4.156661,-9.111352,-0.198392
-4.194642,-9.094049,-0.215043
-4.19943,-9.090904,-0.237026
-4.187024,-9.09296,-0.231802
-4.19758,-9.09024,-0.222117
-4.206134,-9.086115,-0.233554
-4.182671,-9.093396,-0.228429
-4.19536,-9.090784,-0.229365
-4.202542,-9.086834,-0.226611
-4.181038,-9.096769,-0.22277
-4.188656,-9.090665,-0.221224
-4.180603,-9.098838,-0.21624
-4.181233,-9.099044,-0.22278
-4.1707,-9.102995,-0.227449
-4.181365,-9.097967,-0.220049
-4.181593,-9.097009,-0.217992
-4.16972,-9.103189,-0.222661
-4.174291,-9.102396,-0.217154
-4.175727,-9.103354,-0.219668
-4.184412,-9.095899,-0.222334
-4.172658,-9.101231,-0.226579
-4.173094,-9.101013,-0.221899
-4.177762,-9.099283,-0.214999
-4.177338,-9.097749,-0.225381
-4.168849,-9.104496,-0.223205
-4.177044,-9.101439,-0.225055
-4.176903,-9.101014,-0.23202
-4.172767,-9.102211,-0.234088
-4.176326,-9.10084,-0.23128
-4.180929,-9.100686,-0.236155
-4.175488,-9.101341,-0.238223
-4.178753,-9.098076,-0.225381
-4.192846,-9.095932,-0.2229
-4.173855,-9.101666,-0.224728
-4.180516,-9.097608,-0.229005
-4.186502,-9.095094,-0.226132
-4.176794,-9.100797,-0.235176
-4.167827,-9.101677,-0.235589
-4.177338,-9.097205,-0.242576
-4.181473,-9.092417,-0.251609
-4.223252,-9.066842,-0.20219
-4.143405,-9.185354,-0.087508
-3.659537,-9.173505,0.981862
-4.286927,-8.964435,1.029071
-4.838681,-8.832569,0.162925
-4.878077,-8.764301,0.032322
-4.845146,-8.777143,0.054708
-4.862298,-8.77747,-0.008706
-4.866694,-8.7623,0.065601
-4.873071,-8.765499,0.048755
-4.879383,-8.764934,0.035314
-4.867891,-8.765292,0.032202
-4.849455,-8.775947,0.045381
-4.850174,-8.780615,0.000479
-4.841402,-8.781822,0.006856
-4.846941,-8.776545,0.019393
-4.829943,-8.789832,-0.007661
-4.848585,-8.776381,0.006203
-4.842513,-8.786601,-0.001676
-4.821052,-8.790529,-0.003156
-4.828985,-8.786121,0.002155
-4.842164,-8.782149,-0.005986
-4.8145,-8.794981,-0.006823
-4.825633,-8.791269,-0.001676
-4.831281,-8.787482,-0.010774
-4.802649,-8.801805,0.005626
-4.803856,-8.79967,0.024595
-4.830063,-8.789594,0.000359
-4.826385,-8.789441,-0.001741
-4.804804,-8.797135,0.0164
-4.80636,-8.79771,0.01295
-4.809516,-8.796515,0.002612
-4.816894,-8.79522,0.007302
-4.809625,-8.801303,0.022636
-4.821084,-8.795698,0.013647
-4.817787,-8.794556,0.012842
-4.804292,-8.801956,0.028622
-4.811028,-8.79917,0.019154
-4.820943,-8.793577,0.013059
-4.807557,-8.801847,0.010339
-4.800613,-8.806592,0.015682
-4.814631,-8.796296,0.014474
-4.812585,-8.797375,0.013647
-4.800015,-8.802522,0.029449
-4.824207,-8.794011,0.030689
-4.822042,-8.791029,0.029808
-4.804292,-8.798909,0.046687
-4.810278,-8.800106,0.063882
-4.822999,-8.792227,0.071587
-4.828452,-8.789331,0.065949
-4.798633,-8.805221,0.065841
-4.802409,-8.801923,0.059376
-4.798959,-8.804567,0.05659
-4.789241,-8.80779,0.084396
-4.800265,-8.800433,0.092177
-4.794629,-8.810423,0.07422
-4.80636,-8.803,0.084874
-4.804945,-8.800869,0.105454
-4.797262,-8.803958,0.076614
-4.78873,-8.811207,0.06399
-4.784377,-8.808594,0.110895
-4.776672,-8.813295,0.090501
-4.756191,-8.82938,0.053108
-4.760326,-8.821,0.069758
-4.759433,-8.826944,0.049919
-4.760435,-8.822307,0.047884
-4.763144,-8.824907,0.054348
-4.767726,-8.819695,0.072153
-4.772122,-8.816887,0.073861
-4.776552,-8.816528,0.05794
-4.784921,-8.811206,0.065623
-4.77308,-8.813536,0.069312
-4.774365,-8.817082,0.063555
-4.783376,-8.814254,0.068953
-4.786336,-8.812077,0.063773
-4.7817,-8.810902,0.060693
