Acc_X,Acc_Y,Acc_Z
1.814043,-9.475162,1.950295
2.621531,-9.283517,1.63524
2.239993,-9.157929,2.969789
2.338656,-8.275797,2.385583
3.020939,-10.023217,2.234334
2.301546,-9.210494,2.244564
2.096124,-10.013749,0.582879
1.83324,-9.239702,1.298615
2.391372,-9.579092,1.463946
2.021065,-10.118854,0.042497
2.102653,-8.856696,2.138022
2.377682,-9.467391,2.029445
2.503029,-8.985765,2.903187
2.098638,-8.70855,2.452141
3.170032,-9.234654,2.120174
2.270661,-9.646119,2.888963
2.634166,-9.533603,1.291672
2.458486,-9.395685,1.967196
2.410743,-8.802065,2.630792
2.881302,-9.346964,2.113242
2.257841,-9.62208,2.602171
2.740044,-8.962694,2.326805
3.1043,-8.665486,2.185797
2.56419,-9.739134,2.775478
2.6013,-10.074474,0.265321
2.257253,-8.648933,2.380914
2.376898,-8.552088,2.534371
3.315425,-9.974244,2.282545
2.623566,-9.060976,2.251029
2.31454,-8.959538,2.589112
2.661395,-10.664852,0.369066
2.252835,-9.185355,1.403873
2.044888,-9.351633,0.795234
2.589656,-10.003844,0.809784
2.389772,-9.200319,1.899679
2.665835,-8.695087,2.535786
2.810194,-8.834604,3.581247
2.809922,-8.401254,2.607503
3.350805,-9.119275,1.851197
2.711651,-9.498343,2.555375
2.91099,-9.313803,1.489912
2.583452,-9.201788,1.519447
2.212721,-8.827303,2.780267
3.362656,-10.286143,2.013741
2.664387,-8.482656,2.644875
2.613271,-8.397228,2.614468
3.545693,-9.993279,2.0729
2.814602,-9.245754,2.886645
3.048298,-9.772174,1.875737
2.718834,-8.515957,3.06904
2.334586,-8.316618,2.622728
3.544616,-9.349792,1.940827
2.417186,-9.725486,2.442445
2.97349,-9.413783,0.676035
2.47506,-10.208985,0.036022
2.529474,-9.096769,1.652119
2.53916,-9.435658,0.356627
2.771169,-9.280165,1.421797
2.541119,-8.966722,2.005144
3.504752,-9.020634,2.289336
2.782389,-9.074134,3.022462
3.551559,-9.397601,2.030043
3.168726,-8.601408,2.328361
3.304543,-8.368932,2.234987
3.361699,-10.217494,1.069131
2.725037,-9.016891,2.314105
3.55515,-8.719084,1.312142
3.101906,-9.303977,2.944759
2.841319,-9.017162,2.389653
3.572258,-8.768872,2.287442
2.721848,-8.686883,2.909434
4.130325,-10.040085,1.45426
2.678274,-8.869799,2.046923
2.570611,-8.843093,2.322376
3.588908,-8.89446,2.283111
3.172643,-9.169903,3.025074
3.641036,-8.957035,2.304528
3.404315,-8.82371,1.890701
3.565837,-9.826239,1.038539
2.53929,-9.891764,-0.395762
2.718072,-8.848969,1.693462
2.89829,-9.039092,0.725552
3.332968,-9.578603,1.265695
2.820805,-8.946262,2.725581
3.665762,-9.119873,1.922544
3.240443,-8.514326,2.645158
2.805286,-8.285135,2.446515
3.651157,-9.625997,2.088723
3.6253,-8.871715,2.558324
2.501614,-9.040505,1.012094
3.677494,-9.433274,2.005982
2.804372,-8.540988,2.148361
3.980719,-9.250836,2.055183
3.123345,-8.497893,2.855739
4.028005,-9.271547,1.377384
3.331651,-8.743864,3.203083
3.826042,-9.309092,1.249991
3.441186,-8.784685,2.714785
3.532209,-9.004048,1.698251
2.889802,-7.942525,3.651517
3.651267,-9.821015,1.51825
3.4188,-8.623555,2.549585
3.230431,-8.63186,2.536004
-3.742658,-8.773524,1.406931
-4.282985,-8.509517,1.907574
-3.853672,-8.817137,1.531276
-4.14781,-8.331196,2.499086
-4.648684,-8.787789,0.894828
-4.167174,-9.759907,2.238796
-4.419523,-9.29625,1.738681
-3.270922,-8.842857,1.169752
-3.754277,-9.104238,0.941891
-3.564656,-8.808449,1.978102
-4.225564,-8.312017,2.016643
-4.600959,-8.681919,1.321338
-4.218732,-8.917748,2.007559
-4.331895,-8.031088,1.916332
-4.281088,-8.533441,1.552912
-4.200967,-9.193027,2.300772
-4.760662,-9.698273,1.428734
-2.886619,-9.375669,1.112017
-3.571141,-9.406924,0.836313
-4.05385,-8.500799,1.967387
-3.68992,-9.338957,1.021397
-3.958196,-8.463959,1.450626
-4.141935,-8.665004,2.117651
-4.558426,-9.782478,0.80588
-3.867765,-9.211224,1.64524
-4.228309,-8.740084,1.434288
-2.898112,-9.379296,0.899616
-3.818075,-9.169167,0.707425
-3.311007,-8.864678,1.149639
-4.092144,-8.393579,2.282278
-4.522867,-8.883034,1.178392
-4.593848,-9.125833,2.421756
-4.520832,-9.297276,1.143277
-4.460687,-8.342788,1.789263
-4.937065,-8.830009,2.202405
-4.364287,-8.482032,1.831171
-4.770809,-8.62784,1.78201
-4.184549,-8.752357,1.435234
-4.661871,-8.424896,2.106075
-4.041959,-9.081784,1.140851
-3.984452,-9.357084,0.680537
-3.742658,-8.773524,1.406931
-4.282985,-8.509517,1.907574
-3.853672,-8.817137,1.531276
-4.14781,-8.331196,2.499086
-4.648684,-8.787789,0.894828
-4.167174,-9.759907,2.238796
-4.419523,-9.29625,1.738681
-3.270922,-8.842857,1.169752
-3.754277,-9.104238,0.941891
-3.564656,-8.808449,1.978102
-4.225564,-8.312017,2.016643
-4.600959,-8.681919,1.321338
-4.218732,-8.917748,2.007559
-4.331895,-8.031088,1.916332
-4.281088,-8.533441,1.552912
-4.200967,-9.193027,2.300772
-4.760662,-9.698273,1.428734
-2.886619,-9.375669,1.112017
-3.571141,-9.406924,0.836313
-4.05385,-8.500799,1.967387
-3.68992,-9.338957,1.021397
