Acc_X,Acc_Y,Acc_Z
2.510801,-10.57883,0.520298
-0.167584,-8.118131,3.862425
1.076709,-9.806324,0.669515
1.507211,-8.830373,2.045013
0.582617,-9.796754,2.305995
2.923659,-10.157699,0.42778
0.244939,-8.03597,5.040709
1.87687,-9.404768,0.582086
2.76872,-10.492023,0.678249
0.108333,-8.329415,3.448597
1.961857,-9.566373,0.265379
1.831439,-10.28127,0.447956
-0.518644,-8.698051,4.227113
2.062597,-9.641376,0.555694
2.279471,-9.504997,1.741755
-0.211253,-9.016934,3.364396
2.283755,-10.340284,-0.108504
2.452257,-9.202725,2.192904
2.353209,-9.000665,-0.036772
2.575591,-9.24422,1.400275
2.218271,-9.881452,1.142348
2.44863,-10.165814,-0.364889
1.438876,-9.027324,2.676538
2.007179,-9.907383,0.361042
1.594289,-8.612343,2.880903
0.944971,-9.379653,2.957027
2.78926,-10.182592,0.476612
0.192406,-8.204598,4.559366
0.96243,-9.462733,0.96528
1.318885,-10.522305,1.168463
-0.895443,-7.802555,4.869143
2.01049,-9.470467,0.482875
2.104803,-10.029634,1.004395
0.270838,-8.395148,4.25882
2.35486,-10.183011,-0.147615
0.495323,-8.718042,2.855377
0.891027,-9.288398,2.122874
2.531299,-10.334885,0.751346
-0.597724,-8.16407,4.243073
2.122068,-9.55813,0.20108
1.888302,-10.274863,0.984231
-0.887006,-8.230596,3.941735
2.322408,-10.276016,0.017875
1.498831,-8.638019,1.58799
2.291293,-9.878744,1.108279
2.322349,-10.786325,0.624175
0.845139,-8.132622,3.725845
1.823081,-9.683729,0.100499
2.729297,-10.287194,0.481464
0.069251,-8.156507,4.236792
2.081449,-9.77446,0.502556
2.121888,-9.084291,2.2201
0.834902,-9.59022,2.717789
0.20675,-8.202209,2.925569
1.833626,-10.959923,0.726725
0.025573,-8.116121,3.176657
1.722581,-10.344463,0.383946
0.031714,-8.327147,4.063558
1.546535,-10.420576,0.701467
0.510901,-8.533469,3.069236
1.806216,-10.575146,0.877094
0.40555,-8.611261,2.792083
1.927899,-10.637477,0.706434
-0.072594,-8.260463,3.309933
1.55942,-9.887111,0.065944
1.290919,-9.591797,1.106126
