Acc_X,Acc_Y,Acc_Z
0.850112,-8.631199,2.250911
0.156102,-8.32659,5.344279
-0.121107,-10.468299,1.449662
1.035793,-9.628325,0.47246
1.935734,-11.401307,1.13523
0.137079,-6.860955,4.804295
0.207129,-8.932737,3.354438
0.690153,-9.773227,1.023611
1.804487,-11.917528,0.896022
0.658759,-6.424371,3.572544
0.241555,-9.339545,6.100202
0.291217,-9.778487,1.666995
1.290569,-10.938326,0.061137
0.720419,-9.245089,0.659537
1.264083,-8.041081,2.963785
1.316082,-9.394983,3.462175
0.771371,-9.941893,0.104551
1.321287,-10.481161,0.001137
0.93836,-8.965906,1.485001
0.232827,-9.838564,3.786966
0.88346,-10.151713,0.405987
0.937864,-10.438838,0.224137
1.303161,-10.594282,0.832044
1.102852,-8.418413,2.681816
0.83499,-10.189955,0.409352
0.343615,-10.186042,0.336654
1.165903,-11.972548,1.288326
0.345553,-7.420396,3.109159
-0.411177,-9.516195,3.78238
0.443379,-10.032507,0.673036
1.169746,-11.453874,1.248799
0.16011,-4.913153,3.83369
0.034057,-9.460405,3.718215
0.765883,-9.701565,0.770743
1.68682,-11.369363,0.89339
0.447697,-6.52457,3.541886
0.110886,-8.303407,5.30811
0.207592,-9.577288,1.233754
1.456227,-11.177607,-0.414347
0.996461,-9.826963,0.23656
0.183241,-7.745132,3.548869
-0.449955,-9.404914,4.14914
0.518091,-9.842787,0.801027
2.025624,-12.266056,0.041127
1.223046,-8.193024,2.304258
0.368988,-8.535602,5.247087
0.086934,-9.898659,0.892553
1.032852,-10.212743,-0.297034
1.739059,-11.107482,1.333221
0.272243,-7.000726,5.084868
-0.183978,-9.530373,1.902309
1.383799,-9.691679,0.526959
1.815689,-11.387084,0.590818
0.123425,-6.857695,4.41081
-0.231125,-10.022175,2.838255
1.041709,-9.160275,0.513875
1.817149,-12.384975,-0.154138
0.421463,-9.175088,1.509735
-0.165658,-8.124665,6.073058
-1.075933,-8.853983,1.805893
0.964128,-9.645273,0.907732
1.710175,-11.269012,0.675225
0.30673,-6.856888,4.326328
-0.665982,-8.957621,6.163403
0.102981,-9.61608,1.515988
1.697205,-10.893693,0.167321
1.288879,-9.263064,1.909936
-0.053151,-5.299026,5.206992
-0.18059,-9.852054,3.401099
1.047668,-9.546972,0.218405
1.48868,-11.646376,0.475409
0.292044,-10.031221,1.784597
0.282095,-6.233357,6.391202
-0.366027,-9.250262,2.625315
1.174562,-9.545746,-0.065892
2.294044,-10.842657,0.070917
1.028266,-7.058477,2.617424
1.074736,-10.234223,2.187698
1.214283,-9.507612,0.268654
1.251386,-10.650411,0.017976
0.259746,-9.053943,1.465878
0.957323,-9.383978,2.711965
0.385693,-10.053788,0.217343
0.977767,-11.099896,-0.396937
1.109851,-12.154523,0.771207
-0.202149,-6.87829,4.488053
-0.070806,-9.591751,2.087724
1.278336,-10.959441,0.129601
